ID;Number;Nationwide number;Name;Original name;Sex;Year of birth;Nationality;Military/Civilian;Selection;Year of Selection;mission number;total number of missions;Occupation;Year of mission;Mission title;Ascend shuttle;In orbit;Descend shuttle;Hours/mission;Total hrs (sum);Field21;EVA hrs/mission;Total EVA hrs
998;405;94;Lonchakov, Yuri;Юрий Валентинович Лончаков;M;1965;U.S.S.R/Russia;Mil;TsPK-12;1997;3;3;commander;2008;18;Soyuz TMA;ISS;Soyuz TMA;4272;4818,65;2;10,28;10,28
999;406;256;Tito, Dennis Anthony;Tito, Dennis Anthony;M;1940;U.S.;Civ;MirCorp;2000;1;1;Other (space tourist);2001;ЭП-1;Soyuz TM-32;Soyuz TM-32;Soyz TM-31;190,13;190,13;0;0;0
1000;407;257;Hobaugh, Charles O.;Hobaugh, Charles O.;M;1961;U.S.;Mil;NASA- 16;1996;1;3;pilot;2001;STS-104;STS-104;STS-104;STS-104;306;871,78;0;0;0
1001;407;257;Hobaugh, Charles O.;Hobaugh, Charles O.;M;1961;U.S.;Mil;NASA- 16;1996;2;3;pilot;2007;STS-118;STS-118;STS-118;STS-118;305;871,78;0;0;0
1002;407;257;Hobaugh, Charles O.;Hobaugh, Charles O.;M;1961;U.S.;Mil;NASA- 16;1996;3;3;commander;2009;STS-129;STS-129;STS-129;STS-129;259;871,78;0;0;0
1003;408;258;Forrester, Patrick G.;Forrester, Patrick G.;M;1957;U.S.;Mil;NASA- 16;1996;1;3;MSP;2001;STS-105;STS-105;STS-105;STS-105;285;950;2;11,75;25,5
1004;408;258;Forrester, Patrick G.;Forrester, Patrick G.;M;1957;U.S.;Mil;NASA- 16;1996;2;3;MSP;2007;STS-117;STS-117;STS-117;STS-117;332;950;2;13,75;25,5
1005;408;258;Forrester, Patrick G.;Forrester, Patrick G.;M;1957;U.S.;Mil;NASA- 16;1996;3;3;MSP;2009;STS-128;STS-128;STS-128;STS-128;333;950;0;0;25,5
1006;409;95;Tyurin, Mikhail;Михаил Владиславович Тюрин;M;1960;U.S.S.R/Russia;Mil;NPOE-11;1994;1;3;flight engineer;2001;3;STS;ISS;STS;3092;12770,85;3;13,58;25,52
1007;409;95;Tyurin, Mikhail;Михаил Владиславович Тюрин;M;1960;U.S.S.R/Russia;Mil;NPOE-11;1994;2;3;flight engineer;2006;14;Soyuz TMA;ISS;Soyuz TMA;5168;12770,85;2;11,93;25,52
1008;409;95;Tyurin, Mikhail;Михаил Владиславович Тюрин;M;1960;U.S.S.R/Russia;Mil;NPOE-11;1994;3;3;commander;2013;38;Soyuz TMA;ISS;Soyuz TMA;4509;12770,85;0;0;25,52
1009;410;96;Kozeyev, Konstantin;Константин Мирович Козеев;M;1967;U.S.S.R/Russia;Civ;RKKE-12;1996;1;1;flight engineer;2001;Soyuz TM;Soyuz TM;Soyuz TM;Soyuz TM;235;235,98;0;0;0
1010;411;259;Kelly, Mark E.;Kelly, Mark E.;M;1964;U.S.;Mil;NASA- 16;1996;1;4;pilot;2001;STS-108;STS-108;STS-108;STS-108;283;1297;0;0;0
1011;411;259;Kelly, Mark E.;Kelly, Mark E.;M;1964;U.S.;Mil;NASA- 16;1996;2;4;pilot;2006;STS-121;STS-121;STS-121;STS-121;307;1297;0;0;0
1012;411;259;Kelly, Mark E.;Kelly, Mark E.;M;1964;U.S.;Mil;NASA- 16;1996;3;4;commander;2008;STS-124;STS-124;STS-124;STS-124;330;1297;0;0;0
1013;411;259;Kelly, Mark E.;Kelly, Mark E.;M;1964;U.S.;Mil;NASA- 16;1996;4;4;commander;2011;STS-134;STS-134;STS-134;STS-134;377;1297;0;0;0
1014;412;260;Tani, Daniel M.;Tani, Daniel M.;M;1961;U.S.;Civ;1996 NASA group;1996;1;2;MSP;2001;STS-108;STS-108;STS-108;STS-108;283;3163;1;4,2;39,18
1015;412;260;Tani, Daniel M.;Tani, Daniel M.;M;1961;U.S.;Civ;1996 NASA group;1996;2;2;MSP;2007;16;STS-120;ISS;STS-122;2880;3163;5;34,98;39,18
1016;413;261;Carey, Duane G.;Carey, Duane G.;M;1957;U.S.;Mil;NASA- 16;1996;1;1;pilot;2002;STS-109;STS-109;STS-109;STS-109;262;262;0;0;0
1017;414;262;Massimino, Michael J.;Massimino, Michael J.;M;1962;U.S.;Civ;NASA- 16;1996;1;2;MSP;2002;STS-109;STS-109;STS-109;STS-109;262;517,8;2;14,77;30,74
1018;414;262;Massimino, Michael J.;Massimino, Michael J.;M;1962;U.S.;Civ;NASA- 16;1996;2;2;MSP;2009;STS-125;STS-125;STS-125;STS-125;309;517,8;2;15,97;30,74
1019;415;263;Frick, Stephen N.;Frick, Stephen N.;M;1964;U.S.;Mil;NASA- 16;1996;1;2;pilot;2002;STS-110;STS-110;STS-110;STS-110;260;565;0;0;0
1020;415;263;Frick, Stephen N.;Frick, Stephen N.;M;1964;U.S.;Mil;NASA- 16;1996;2;2;commander;2008;STS-122;STS-122;STS-122;STS-122;306;565;0;0;0
1021;416;264;Walheim, Rex J.;Walheim, Rex J.;M;1962;U.S.;Mil;1996 NASA group;1996;1;3;MSP;2002;STS-110;STS-110;STS-110;STS-110;259;872,51;2;34,6;56,73
1022;416;264;Walheim, Rex J.;Walheim, Rex J.;M;1962;U.S.;Mil;1996 NASA group;1996;2;3;MSP;2008;STS-122;STS-122;STS-122;STS-122;306;872,51;3;22,13;56,73
1023;416;264;Walheim, Rex J.;Walheim, Rex J.;M;1962;U.S.;Mil;1996 NASA group;1996;3;3;MSP;2011;STS-135;STS-135;STS-135;STS-135;306,5;872,51;0;0;56,73
1024;417;265;Morin, Lee M.;Morin, Lee M.;M;1952;U.S.;Mil;NASA- 16;1996;1;1;MSP;2002;STS-110;STS-110;STS-110;STS-110;259;259;2;14,12;14,12
1025;418;4;Vittori, Roverto;Vittori, Roverto;M;1964;Italy;Mil;1998 ESA Group;1998;1;3;flight engineer;2002;Soyuz TMA-34/TM-33;Soyuz TMA-34;Soyuz TMA-34;Soyuz TMA-33;237;851,65;0;0;0
1026;418;4;Vittori, Roverto;Vittori, Roverto;M;1964;Italy;Mil;1998 ESA Group;1998;2;3;flight engineer;2005;Soyuz TMA-6/TMA-5;Soyuz TMA-6;Soyuz TMA-6;Soyuz TMA-5;237;851,65;0;0;0
1027;418;4;Vittori, Roverto;Vittori, Roverto;M;1964;Italy;Mil;1998 ESA Group;1998;3;3;MSP;2011;STS-134;STS-134;STS-134;STS-134;377,65;851,65;0;0;0
1028;419;1;Shuttleworth, M. Richard;Shuttleworth, M. Richard;M;1973;Republic of South Africa;Civ;Space Tourist 2;2001;1;1;Other (Space tourist);2002;Soyuz TM-34 / Soyuz TM-33;Soyuz TM-34;Soyuz TM-34;Soyuz TM-33;237;237;0;0;0
1029;420;266;Lockhart, Paul S.;Lockhart, Paul S.;M;1956;U.S.;Mil;NASA- 16;1996;1;2;pilot;2002;STS-111;STS-111;STS-111;STS-111;332;663,38;0;0;0
1030;420;266;Lockhart, Paul S.;Lockhart, Paul S.;M;1956;U.S.;Mil;NASA- 17;1996;2;2;pilot;2002;STS-113;STS-113;STS-113;STS-113;330;663,38;0;0;0
1031;421;9;Perrin, Philippe;Perrin, Philippe;M;1963;France;Mil;CNES-3/EAC;1990;1;1;MSP;2002;STS-111;STS-111;STS-111;STS-111;332,58;332,58;3;19,52;19,52
1032;422;267;Whitson, Peggy A.;Whitson, Peggy A.;F;1960;U.S.;Civ;1996 NASA group;1996;1;3;MSP;2002;5;STS-111;ISS;STS-113;4438;15982;1;4,38;60,31
1033;422;267;Whitson, Peggy A.;Whitson, Peggy A.;F;1960;U.S.;Civ;1996 NASA group;1996;2;3;flight engineer;2008;16;Soyuz TMA-11;ISS;Soyuz TMA-11;4603;15982;5;35,35;60,31
1034;422;267;Whitson, Peggy A.;Whitson, Peggy A.;F;1960;U.S.;Civ;1996 NASA group;1996;3;3;flight engineer;2016;50;Soyuz MS-03;ISS;Soyuz MS-04;6941;15982;4;20,58;60,31
1035;423;97;Treshchov, Sergei;Сергей Евгеньевич Трещёв;M;1958;U.S.S.R/Russia;Civ;NPOE-10;1992;1;1;flight engineer;2002;5;STS;ISS;STS;4438;4438,25;1;5,35;5,35
1036;424;268;Magnus, Sandra H.;Magnus, Sandra H.;F;1964;U.S.;Civ;NASA- 16;1996;1;3;MSP;2002;STS-112;STS-112;STS-112;STS-112;260;3776;0;0;0
1037;424;268;Magnus, Sandra H.;Magnus, Sandra H.;F;1964;U.S.;Civ;NASA- 16;1996;2;3;MSP;2008;18;STS-126;ISS;STS-119;3210;3776;0;0;0
1038;424;268;Magnus, Sandra H.;Magnus, Sandra H.;F;1964;U.S.;Civ;NASA- 16;1996;3;3;MSP;2011;STS-135;STS-135;STS-135;STS-135;306;3776;0;0;0
1039;425;269;Sellers, Piers J.;Sellers, Piers J.;M;1955;U.K./U.S.;Civ;NASA-16;1996;1;3;MSP;2002;STS-112;STS-112;STS-112;STS-112;259;839;3;19,68;41,17
1040;425;269;Sellers, Piers J.;Sellers, Piers J.;M;1955;U.K./U.S.;Civ;NASA-16;1996;2;3;MSP;2006;STS-121;STS-121;STS-121;STS-121;306;839;3;21,48;41,17
1041;425;269;Sellers, Piers J.;Sellers, Piers J.;M;1955;U.K./U.S.;Civ;NASA-16;1996;3;3;MSP;2010;STS-132;STS-132;STS-132;STS-132;282,5;839;0;0;41,17
1042;426;98;Yurchikhin, Fyodor;Фёдор Николаевич Юрчихин;M;1959;U.S.S.R/Russia;Civ;RKKE-14;1997;1;5;MSP;2002;STS;STS;STS;STS;259;16147;0;0;59,43
1043;426;98;Yurchikhin, Fyodor;Фёдор Николаевич Юрчихин;M;1959;U.S.S.R/Russia;Civ;RKKE-14;1997;2;5;flight engineer;2007;15;Soyuz TMA;ISS;Soyuz TMA;4721;16147;3;18,73;59,43
1044;426;98;Yurchikhin, Fyodor;Фёдор Николаевич Юрчихин;M;1959;U.S.S.R/Russia;Civ;RKKE-14;1997;3;5;commander;2010;24;Soyuz TMA;ISS;Soyuz TMA;3919;16147;2;13,17;59,43
1045;426;98;Yurchikhin, Fyodor;Фёдор Николаевич Юрчихин;M;1959;U.S.S.R/Russia;Civ;RKKE-14;1997;4;5;commander;2013;36;Soyuz TMA;ISS;Soyuz TMA;3990;16147;2;20,03;59,43
1046;426;98;Yurchikhin, Fyodor;Фёдор Николаевич Юрчихин;M;1959;U.S.S.R/Russia;Civ;RKKE-14;1997;5;5;commander;2017;51;Soyuz MS-04;ISS;Soyuz MS-04;3258;16147;1;7,5;59,43
1047;427;2;De Winne, Frank;De Winne, Frank;M;1961;Belgium;Mil;EAC;1998;1;2;commander;2002;Soyuz TMA-1/TM-34;Soyuz TMA-1;Soyuz TMA-1;Soyuz TMA-34;261;4769,58;0;0;0
1048;427;2;De Winne, Frank;De Winne, Frank;M;1961;Belgium;Mil;EAC;1998;2;2;commander;2009;20;Soyuz TMA-15;ISS;Soyuz TMA-15;4508,6;4769,58;0;0;0
1049;428;270;Herrington, John B.;Herrington, John B.;M;1958;U.S.;Mil;NASA- 16;1996;1;1;MSP;2002;STS-113;STS-113;STS-113;STS-113;330;330;3;19,92;19,92
1050;429;271;Pettit, Donald R.;Pettit, Donald R.;M;1955;U.S.;Civ;NASA-16;1996;1;3;flight engineer;2002;6;STS-113;ISS;Soyuz TMA-1;3865;8872,5;2;13,28;13,28
1051;429;271;Pettit, Donald R.;Pettit, Donald R.;M;1955;U.S.;Civ;NASA-16;1996;2;3;MSP;2008;STS-126;STS-126;STS-126;STS-126;380,5;8872,5;0;0;13,28
1052;429;271;Pettit, Donald R.;Pettit, Donald R.;M;1955;U.S.;Civ;NASA-16;1996;3;3;flight engineer;2011;30;Soyuz TMA-03M;ISS;Soyuz TMA-03M;4627;8872,5;0;0;13,28
1053;430;272;McCool, William C.;McCool, William C.;M;1961;U.S.;Mil;NASA- 16;1996;1;1;pilot;2003;STS-107;STS-107;STS-107;STS-107;382;382;0;0;0
1054;431;273;Brown, David M.;Brown, David M.;M;1956;U.S.;Mil;NASA- 16;1996;1;1;MSP;2003;STS-107;STS-107;STS-107;STS-107;382;382;0;0;0
1055;432;274;Clark, Laurel B.;Clark, Laurel B.;F;1961;U.S.;Mil;NASA- 16;1996;1;1;MSP;2003;STS-107;STS-107;STS-107;STS-107;382;382;0;0;0
1056;433;1;Ramon, Ilan;אילן רמון;M;1954;Israel;Mil;1996 NASA Group;1996;1;1;PSP;2003;STS-107;STS-107;STS-107;Exploded;382,33;382,33;0;0;0
1057;434;1;Yang, Liwei;杨利伟;M;1965;China;Mil;China-1;2003;1;1;commander;2005;Shenzhou 5;Shenzhou 5;Shenzhou 5;Shenzhou 5;21;21;0;0;0
1058;435;275;Fincke, E. Michael;Fincke, E. Michael;M;1967;U.S.;Mil;NASA- 16;1996;1;3;flight engineer;2004;9;Soyuz TMA-4;ISS;Soyuz TMA-4;4501;9159;4;15,75;48,61
1059;435;275;Fincke, E. Michael;Fincke, E. Michael;M;1967;U.S.;Mil;NASA- 16;1996;2;3;commander;2009;18;Soyuz TMA-13;ISS;Soyuz TMA-13;4280;9159;2;10,45;48,61
1060;435;275;Fincke, E. Michael;Fincke, E. Michael;M;1967;U.S.;Mil;NASA- 16;1996;3;3;MSP;2011;STS-134;STS-134;STS-134;STS-134;378;9159;3;22,42;48,61
1061;436;2;Kuipers, Andre;Kuipers, Andre;M;1958;Netherland;Civ;1998 ESA Group;1998;1;2;flight engineer;2004;Soyuz TMA-4/TMA-3;Soyuz TMA-4;Soyuz TMA-4;Soyuz TMA-3;261;4888;0;0;0
1062;436;2;Kuipers, Andre;Kuipers, Andre;M;1958;Netherland;Civ;1998 ESA Group;1998;2;2;flight engineer;2012;30;Soyuz TMA-03M;ISS;Soyuz TMA-03M;4627;4888;0;0;0
1063;437;99;Shargin, Yuri;Юрий Георгиевич Шаргин;M;1960;U.S.S.R/Russia;Mil;MKS;1996;1;1;flight engineer;2004;Soyuz TMA;Soyuz TMA;Soyuz TMA;Soyuz TMA;237;237,5;0;0;0
1064;438;6;Noguchi, Soichi;野口聡一;M;1965;Japan;Civ;NASDA-3;1996;1;2;MSP;2005;STS-114;STS-114;STS-114;STS-114;333,55;4251,1;3;20,08;20,08
1065;438;6;Noguchi, Soichi;野口聡一;M;1965;Japan;Civ;NASDA-3;1996;2;2;flight engineer;2009;22;Soyuz TMA-17;ISS;Soyuz TMA-17;3917,55;4251,1;0;0;20,08
1066;439;276;Camarda, Charles J.;Camarda, Charles J.;M;1952;U.S.;Civ;NASA- 16;1996;1;1;MSP;2005;STS-114;STS-114;STS-114;STS-114;333;333;0;0;0
1067;440;277;Olsen, Gregory Hammond;Olsen, Gregory Hammond;M;1945;U.S.;Civ;;2004;1;1;Space tourist;2005;Soyuz TMA-7;Soyuz TMA-7;Soyuz TMA-7;Soyuz TMA-7;237,29;237,29;0;0;0
1068;441;2;Fei, Junlong;费俊龙;M;1966;China;Mil;China-1;2005;1;1;commander;2005;Shenzhou 6;Shenzhou 6;Shenzhou 6;Shenzhou 6;115;115;0;0;0
1069;442;3;Nie Haisheng;聂海胜;M;1964;China;Mil;China-1;2005;1;2;flight engineer;2005;Shenzhou 6;Shenzhou 6;Shenzhou 6;Shenzhou 6;116;466;0;0;0
1070;442;3;Nie Haisheng;聂海胜;M;1964;China;Mil;China-1;2005;2;2;commander;2008;Shenzhou 10;Shenzhou 10;Shenzhou 10;Shenzhou 10;350;466;0;0;0
1071;443;1;Pontes, Marcos Cesar;Pontes, Marcos Cesar;M;1963;Brazil;Mil;1998 NASA Group;1998;1;1;pilot;2006;Soyuz TMA-8;Soyuz TMA-8;Soyuz TMA-8;Soyuz TMA-7;237,28;237,28;0;0;0
1072;444;278;Fossum, Michael E.;Fossum, Michael E.;M;1957;U.S.;Civ;NASA- 17;1998;1;3;MSP;2006;STS-121;STS-121;STS-121;STS-121;307;4651;3;21,48;48,53
1073;444;278;Fossum, Michael E.;Fossum, Michael E.;M;1957;U.S.;Civ;NASA- 17;1998;2;3;MSP;2008;STS-124;STS-124;STS-124;STS-124;330;4651;3;20,53;48,53
1074;444;278;Fossum, Michael E.;Fossum, Michael E.;M;1957;U.S.;Civ;NASA- 17;1998;3;3;commander;2011;28;Soyuz TMA-02M;ISS;Soyuz TMA-02M;4014;4651;1;6,52;48,53
1075;445;279;Nowak, Lisa M.;Nowak, Lisa M.;F;1963;U.S.;Mil;NASA-16;1996;1;1;MSP;2006;STS-121;STS-121;STS-121;STS-121;306;306;0;0;0
1076;446;280;Wilson, Stephanie D.;Wilson, Stephanie D.;F;1966;U.S.;Civ;1996 NASA group;1996;1;3;MSP;2006;STS-121;STS-121;STS-121;STS-121;306;1031,77;0;0;0
1077;446;280;Wilson, Stephanie D.;Wilson, Stephanie D.;F;1966;U.S.;Civ;1996 NASA group;1996;2;3;MSP;2007;STS-120;STS-120;STS-120;STS-120;362;1031,77;0;0;0
1078;446;280;Wilson, Stephanie D.;Wilson, Stephanie D.;F;1966;U.S.;Civ;1996 NASA group;1996;3;3;MSP;2010;STS-131;STS-131;STS-131;STS-131;362;1031,77;0;0;0
1079;447;281;Ferguson, Christopher J.;Ferguson, Christopher J.;M;1961;U.S.;Mil;NASA- 17;1998;1;3;pilot;2006;STS-115;STS-115;STS-115;STS-115;283;672;0;0;0
1080;447;281;Ferguson, Christopher J.;Ferguson, Christopher J.;M;1961;U.S.;Mil;NASA- 17;1998;2;3;commander;2008;STS-126;STS-126;STS-126;STS-126;380,5;672;0;0;0
1081;447;281;Ferguson, Christopher J.;Ferguson, Christopher J.;M;1961;U.S.;Mil;NASA- 17;1998;3;3;commander;2011;STS-135;STS-135;STS-135;STS-135;306,5;672;0;0;0
1082;448;282;Stefanyshyn-Piper, Heidemarie M.;Stefanyshyn-Piper, Heidemarie M.;F;1963;U.S.;Mil;1963 NASA group 2;1996;1;2;MSP;2002;STS-115;STS-115;STS-115;STS-115;288;648;2;13,13;33,7
1083;448;282;Stefanyshyn-Piper, Heidemarie M.;Stefanyshyn-Piper, Heidemarie M.;F;1963;U.S.;Mil;1963 NASA group 2;1996;2;2;MSP;2008;STS-126;STS-126;STS-126;STS-126;360;648;3;20,57;33,7
1084;449;283;Ansari, Anousheh;انوشه انصاری;F;1966;U.S.;Civ;N/A;2006;1;1;Other (space tourist);2006;Soyuz TMA-9;Soyuz TMA-9;Soyuz TMA-9;Soyuz TMA-8;261,525;261,525;0;0;0
1085;450;284;Oefelein, William A.;Oefelein, William A.;M;1965;U.S.;Mil;NASA-17;1998;1;1;pilot;2006;STS-116;STS-116;STS-116;STS-116;308;308;0;0;0
1086;451;285;Patrick, Nicholas J. M.;Patrick, Nicholas J. M.;M;1964;U.K./U.S.;Civ;NASA-17;1998;1;2;MSP;2006;STS-116;STS-116;STS-116;STS-116;308;638;0;0;18,23
1087;451;285;Patrick, Nicholas J. M.;Patrick, Nicholas J. M.;M;1964;U.K./U.S.;Civ;NASA-17;1998;2;2;MSP;2010;STS-130;STS-130;STS-130;STS-130;330;638;3;18,23;18,23
1088;452;1;Christer Fuglesang;Christer Fuglesang;M;1957;Sweden;Civ;1992 ESA Group;1992;1;2;MSP;2006;STS-116;STS-116;STS-116;STS-116;308,73;641,63;3;18,23;31,9
1089;452;1;Christer Fuglesang;Christer Fuglesang;M;1957;Sweden;Civ;1992 ESA Group;1992;2;2;MSP;2009;STS-128;STS-128;STS-128;STS-128;332,9;641,63;2;13,67;31,9
1090;453;286;Higginbotham, Joan E.;Higginbotham, Joan E.;F;1964;U.S.;Civ;NASA- 16;1996;1;1;MSP;2006;STS-116;STS-116;STS-116;STS-116;308;308;0;0;0
1091;454;287;Williams, Sunita L.;Williams, Sunita L.;F;1965;U.S.;Mil;1998 NASA group;1998;1;1;MSP;2006;14;STS-116;ISS;STS-117;4674;7722;4;28,28;50,67
1092;454;287;Williams, Sunita L.;Williams, Sunita L.;F;1965;U.S.;Mil;1998 NASA group;1998;2;2;flight engineer;2012;32;Soyuz TMA-05M;ISS;Soyuz TMA-06M;3048;7722;3;21,38;50,67
1093;455;100;Kotov, Oleg;Олег Валериевич Котов;M;1965;U.S.S.R/Russia;Mil;MKS;1996;1;3;commander;2007;15;Soyuz TMA;ISS;Soyuz TMA;4721;12629,03;2;11,05;36,7
1094;455;100;Kotov, Oleg;Олег Валериевич Котов;M;1965;U.S.S.R/Russia;Mil;MKS;1996;2;3;commander;2009;22;Soyuz TMA;ISS;Soyuz TMA;3917;12629,03;1;5,73;36,7
1095;455;100;Kotov, Oleg;Олег Валериевич Котов;M;1965;U.S.S.R/Russia;Mil;MKS;1996;3;3;commander;2013;37;Soyuz TMA;ISS;Soyuz TMA;3990;12629,03;3;19,92;36,7
1096;456;288;Simonyi, Charles (Karoly);Simonyi, Charles (Karoly);M;1948;U.S.;Civ;N/A;2006;1;2;Other (space tourist);2007;Soyuz TMA-10;Soyuz TMA-10;Soyuz TMA-10;Soyuz TMA-10;331,4;638,77;0;0;0
1097;456;288;Simonyi, Charles (Karoly);Simonyi, Charles (Karoly);M;1948;U.S.;Civ;N/A;2006;2;2;Other (space tourist);2009;Soyuz TMA-14;Soyuz TMA-14;Soyuz TMA-14;Soyuz TMA-14;307,85;638,77;0;0;0
1098;457;289;Archambault, Lee J.;Archambault, Lee J.;M;1960;U.S.;Mil;NASA- 17;1998;1;2;pilot;2007;STS-117;STS-117;STS-117;STS-117;332;639,5;0;0;0
1099;457;289;Archambault, Lee J.;Archambault, Lee J.;M;1960;U.S.;Mil;NASA- 17;1998;2;2;commander;2009;STS-119;STS-119;STS-119;STS-119;307,5;639,5;0;0;0
1100;458;290;Swanson, Steven R.;Swanson, Steven R.;M;1960;U.S.;Civ;1998 NASA group;1998;1;3;MSP;2007;STS-117;STS-117;STS-117;STS-117;332,22;4646,85;3;13,75;27,9
1101;458;290;Swanson, Steven R.;Swanson, Steven R.;M;1960;U.S.;Civ;1998 NASA group;1998;2;3;MSP;2009;STS-119;STS-119;STS-119;STS-119;307,5;4646,85;2;12,93;27,9
1102;458;290;Swanson, Steven R.;Swanson, Steven R.;M;1960;U.S.;Civ;1998 NASA group;1998;3;3;flight engineer;2014;39;Soyuz TMA-12M;ISS;Soyuz TMA-12M;4007,13;4646,85;0;0;27,9
1103;459;291;Olivas, John D.;Olivas, John D.;M;1965;U.S.;Civ;NASA-17;1998;1;2;MSP;2007;STS-117;STS-117;STS-117;STS-117;332;668;2;14,22;34,47
1104;459;291;Olivas, John D.;Olivas, John D.;M;1965;U.S.;Civ;NASA-17;1998;2;2;MSP;2009;STS-128;STS-128;STS-128;STS-128;333;668;3;20,25;34,47
1105;460;292;Anderson, Clayton C.;Anderson, Clayton C.;M;1959;U.S.;Civ;NASA- 17;1998;1;2;flight engineer;2007;15;STS-117;ISS;STS-120;3642;4046;3;18,13;38,46
1106;460;292;Anderson, Clayton C.;Anderson, Clayton C.;M;1959;U.S.;Civ;NASA- 17;1998;2;2;MSP;2010;STS-131;STS-131;STS-131;STS-131;363;4046;3;20,28;38,46
1107;461;293;Caldwell, Tracy E.;Caldwell, Tracy E.;F;1969;U.S.;Civ;NASA- 17;1998;1;2;MSP;2007;STS-118;STS-118;STS-118;STS-118;306;4526;0;0;22,81
1108;461;293;Caldwell, Tracy E.;Caldwell, Tracy E.;F;1969;U.S.;Civ;NASA- 17;1998;2;2;flight engineer;2010;23;Soyuz TMA-18;ISS;Soyuz TMA-18;4220;4526;3;22,81;22,81
1109;462;294;Drew, Alvin Benjamin;Drew, Alvin B.;M;1962;U.S.;Mil;NASA- 18;2000;1;2;MSP;2007;STS-118;STS-118;STS-118;STS-118;306;613;0;0;12,8
1110;462;294;Drew, Alvin Benjamin;Drew, Alvin B.;M;1962;U.S.;Mil;NASA- 18;2000;2;2;MSP;2011;STS-133;STS-133;STS-133;STS-133;307;613;2;12,8;12,8
1111;463;295;Morgan, Barbara R.;Morgan, Barbara R.;F;1951;U.S.;Civ;NASA- 17;1998;1;1;MSP;2007;STS-118;STS-118;STS-118;STS-118;305;305;0;0;0
1112;464;1;Shukor, Sheikh Muszaphar;Shukor, Sheikh Muszaphar;M;1972;Malysia;Civ;2006 Angkasawan Program;2006;1;1;Other (space tourist);2007;Soyuz TMA-11/10;Soyuz TMA-11;Soyuz TMA-11;Soyuz TMA-10;261,23;261,23;0;0;0
1113;465;296;Zamka, George D.;Zamka, George D.;M;1962;U.S.;Mil;1998 NASA group;1998;1;2;pilot;2007;STS-120;STS-120;STS-120;STS-120;362;692,53;0;0;0
1114;465;296;Zamka, George D.;Zamka, George D.;M;1962;U.S.;Mil;1998 NASA group;1998;2;2;commander;2010;STS-130;STS-130;STS-130;STS-130;306,1;692,53;0;0;0
1115;466;297;Wheelock, Douglas H.;Wheelock, Douglas H.;M;1960;U.S.;Mil;1998 NASA group;1998;1;2;MSP;2007;STS-120;STS-120;STS-120;STS-120;360;4281,57;3;20,68;41,5
1116;466;297;Wheelock, Douglas H.;Wheelock, Douglas H.;M;1960;U.S.;Mil;1998 NASA group;1998;2;2;flight engineer;2010;24;Soyuz TMA-19;ISS;Soyuz TMA-19;3912;4281,57;3;22,82;41,5
1117;467;5;Nespoli, Paolo A.;Nespoli, Paolo A.;M;1957;Italy;Mil;1998 ESA Group;1998;1;3;MSP;2007;STS-120;STS-120;STS-120;STS-120;362,4;7514,61;0;0;0
1118;467;5;Nespoli, Paolo A.;Nespoli, Paolo A.;M;1957;Italy;Mil;1998 ESA Group;1998;2;3;flight engineer;2010;26;Soyuz TMA-20;ISS;Soyuz TMA-20;3823,28;7514,61;0;0;0
1119;467;5;Nespoli, Paolo A.;Nespoli, Paolo A.;M;1957;Italy;Mil;1998 ESA Group;1998;3;3;flight engineer;2017;52;Soyuz MS-05;ISS;Soyuz MS-05;3328,93;7514,61;0;0;0
1120;468;298;Poindexter, Alan G.;Poindexter, Alan G.;M;1961;U.S.;Mil;NASA-17;1998;1;2;pilot;2008;STS-122;STS-122;STS-122;STS-122;306;669;0;0;0
1121;468;298;Poindexter, Alan G.;Poindexter, Alan G.;M;1961;U.S.;Mil;NASA-17;1998;2;2;commander;2010;STS-131;STS-131;STS-131;STS-131;363;669;0;0;0
1122;469;299;Melvin, Leland D.;Melvin, Leland D.;M;1964;U.S.;Civ;NASA- 17;1998;1;2;MSP;2008;STS-122;STS-122;STS-122;STS-122;306;565;0;0;0
1123;469;299;Melvin, Leland D.;Melvin, Leland D.;M;1964;U.S.;Civ;NASA- 17;1998;2;2;MSP;2009;STS-129;STS-129;STS-129;STS-129;259;565;0;0;0
1124;470;300;Love, Stanley G.;Love, Stanley G.;M;1965;U.S.;Civ;NASA- 17;1998;1;1;MSP;2008;STS-122;STS-122;STS-122;STS-122;306;306;1;15,38;15,38
1125;471;301;Johnson, Gregory H.;Johnson, Gregory H.;M;1962;U.S.;Mil;NASA- 17;1998;1;2;pilot;2008;STS-123;STS-123;STS-123;STS-123;378;755,83;0;0;0
1126;471;301;Johnson, Gregory H.;Johnson, Gregory H.;M;1962;U.S.;Mil;NASA- 18;1998;2;2;pilot;2011;STS-134;STS-134;STS-134;STS-134;377;755,83;0;0;0
1127;472;302;Behnken, Robert L.;Behnken, Robert L.;M;1970;U.S.;Mil;NASA- 18;2000;1;2;MSP;2008;STS-123;STS-123;STS-123;STS-123;378;708;3;19,32;37,54
1128;472;302;Behnken, Robert L.;Behnken, Robert L.;M;1970;U.S.;Mil;NASA- 18;2000;2;2;MSP;2010;STS-130;STS-130;STS-130;STS-130;330;708;3;18,23;37,54
1129;473;303;Foreman, Michael J.;Foreman, Michael J.;M;1957;U.S.;Mil;NASA- 17;1998;1;2;MSP;2008;STS-123;STS-123;STS-123;STS-123;378;637;3;19,57;32,31
